Train–test;Train–test.1;Validation
Pryntex-01-Ag-01_B;Botlek-01-Ag-10_B;762-27-Ag-10_B
Pryntex-01-Ag-02_D;Botlek-01-Ag-11_B;762-27-Ag-100_B
Pryntex-01-Ag-03_B;Botlek-01-Ag-12_D;762-27-Ag-101_B
Pryntex-01-Ag-04_B;Botlek-01-Ag-14_C;762-27-Ag-102_B
Pryntex-01-Ag-05_B;Botlek-01-Ag-15_B;762-27-Ag-103_B
Pryntex-01-Ag-06_B;Botlek-01-Ag-16_B;762-27-Ag-104_A
Pryntex-01-Ag-07_B;Botlek-01-Ag-17_B;762-27-Ag-105_A
Pryntex-01-Ag-08_B;Botlek-01-Ag-18_D;762-27-Ag-106_B
Pryntex-01-Ag-09_B;Botlek-01-Ag-19_D;762-27-Ag-107_D
Pryntex-01-Ag-10_B;Botlek-01-Ag-20_B;762-27-Ag-108_B
Pryntex-01-Ag-11_B;Botlek-01-Ag-21_B;762-27-Ag-109_A
Pryntex-01-Ag-12_B;Botlek-01-Ag-22_A;762-27-Ag-11_B
Pryntex-01-Ag-13_B;Botlek-01-Ag-23_D;762-27-Ag-110_B
Pryntex-01-Ag-14_A;Botlek-01-Ag-24_B;762-27-Ag-111_B
Pryntex-01-Ag-15_A;Botlek-01-Ag-25_B;762-27-Ag-112_C
Pryntex-01-Ag-16_A;Botlek-01-Ag-26_A;762-27-Ag-113_B
Pryntex-01-Ag-17_B;Botlek-01-Ag-28_D;762-27-Ag-114_B
Pryntex-01-Ag-18_B;Botlek-01-Ag-29_B;762-27-Ag-115_B
Pryntex-01-Ag-19_B;Botlek-01-Ag-3_B;762-27-Ag-117_B
Pryntex-01-Ag-20_B;Botlek-01-Ag-30_B;762-27-Ag-118_C
Pryntex-01-Ag-22_D;Botlek-01-Ag-31_B;762-27-Ag-119_D
Pryntex-01-Ag-23_B;Botlek-01-Ag-32_B;762-27-Ag-12_C
Pryntex-01-Ag-24_B;Botlek-01-Ag-33_B;762-27-Ag-120_B
Pryntex-01-Ag-25_A;Botlek-01-Ag-34_A;762-27-Ag-121_B
Pryntex-01-Ag-26_B;Botlek-01-Ag-35_C;762-27-Ag-122_D
Pryntex-01-Ag-27_B;Botlek-01-Ag-36_B;762-27-Ag-123_D
Pryntex-01-Ag-28_B;Botlek-01-Ag-37_B;762-27-Ag-124_B
Pryntex-01-Ag-29_C;Botlek-01-Ag-39_B;762-27-Ag-125_B
Pryntex-01-Ag-30_B;Botlek-01-Ag-4_B;762-27-Ag-126_B
Pryntex-01-Ag-31_B;Botlek-01-Ag-40_B;762-27-Ag-127_D
Pryntex-01-Ag-32_A;Botlek-01-Ag-41_B;762-27-Ag-128_D
Pryntex-01-Ag-33_B;Botlek-01-Ag-5_C;762-27-Ag-129_D
Pryntex-01-Ag-34_B;Botlek-01-Ag-6_B;762-27-Ag-13_B
Pryntex-01-Ag-35_B;Botlek-01-Ag-7_B;762-27-Ag-130_D
Pryntex-01-Ag-36_B;Botlek-01-Ag-8_C;762-27-Ag-131_B
Pryntex-01-Ag-37_B;Botlek-01-Ag-9_C;762-27-Ag-132_B
Pryntex-01-Ag-39_B;Botlek-02-Ag-11_B;762-27-Ag-133_B
Pryntex-01-Ag-40_B;Botlek-02-Ag-12_B;762-27-Ag-134_B
Pryntex-01-Ag-41_B;Botlek-02-Ag-14_B;762-27-Ag-135_B
Pryntex-01-Ag-42_B;Botlek-02-Ag-15_D;762-27-Ag-136_B
Pryntex-01-Ag-43_B;Botlek-02-Ag-16_D;762-27-Ag-137_C
Pryntex-02-Ag-01_B;Botlek-02-Ag-17_C;762-27-Ag-138_A
Pryntex-02-Ag-02_B;Botlek-02-Ag-18_C;762-27-Ag-139_B
Pryntex-02-Ag-03_B;Botlek-02-Ag-19_B;762-27-Ag-14_A
Pryntex-02-Ag-04_B;Botlek-02-Ag-21_B;762-27-Ag-140_A
Pryntex-02-Ag-05_B;Botlek-02-Ag-23_B;762-27-Ag-141_C
Pryntex-02-Ag-06_B;Botlek-02-Ag-24_D;762-27-Ag-142_A
Pryntex-02-Ag-07_B;Botlek-02-Ag-25_B;762-27-Ag-143_A
Pryntex-02-Ag-08_B;Botlek-02-Ag-26_B;762-27-Ag-144_B
Pryntex-02-Ag-09_B;Botlek-02-Ag-27_B;762-27-Ag-145_A
Pryntex-02-Ag-10_B;Botlek-02-Ag-28_C;762-27-Ag-146_B
Pryntex-02-Ag-11_B;Botlek-02-Ag-29_A;762-27-Ag-147_C
Pryntex-02-Ag-12_D;Botlek-02-Ag-3_B;762-27-Ag-148_B
Pryntex-02-Ag-13_C;Botlek-02-Ag-30_C;762-27-Ag-149_B
Pryntex-02-Ag-14_B;Botlek-02-Ag-31_A;762-27-Ag-150_B
Pryntex-02-Ag-15_D;Botlek-02-Ag-32_B;762-27-Ag-151_B
Pryntex-02-Ag-16_B;Botlek-02-Ag-33_B;762-27-Ag-152_C
Pryntex-02-Ag-17_B;Botlek-02-Ag-34_B;762-27-Ag-153_B
Pryntex-02-Ag-18_B;Botlek-02-Ag-36_B;762-27-Ag-154_D
Pryntex-02-Ag-19_B;Botlek-02-Ag-37_D;762-27-Ag-155_D
Pryntex-02-Ag-20_B;Botlek-02-Ag-38_B;762-27-Ag-156_D
Pryntex-02-Ag-21_D;Botlek-02-Ag-39_B;762-27-Ag-157_B
Pryntex-02-Ag-22_B;Botlek-02-Ag-4_B;762-27-Ag-158_B
Pryntex-02-Ag-23_B;Botlek-02-Ag-40_B;762-27-Ag-159_B
Pryntex-02-Ag-24_B;Botlek-02-Ag-41_D;762-27-Ag-16_B
Pryntex-02-Ag-25_B;Botlek-02-Ag-42_B;762-27-Ag-160_D
Pryntex-02-Ag-26_B;Botlek-02-Ag-43_C;762-27-Ag-161_B
Pryntex-02-Ag-27_B;Botlek-02-Ag-44_B;762-27-Ag-162_D
Pryntex-02-Ag-28_B;Botlek-02-Ag-45_B;762-27-Ag-163_D
Pryntex-02-Ag-29_B;Botlek-02-Ag-46_A;762-27-Ag-164_B
Pryntex-02-Ag-30_B;Botlek-02-Ag-47_B;762-27-Ag-165_B
Pryntex-02-Ag-31_B;Botlek-02-Ag-49_C;762-27-Ag-166_B
Pryntex-02-Ag-32_B;Botlek-02-Ag-5_B;762-27-Ag-167_D
Pryntex-02-Ag-33_B;Botlek-02-Ag-50_A;762-27-Ag-168_B
Pryntex-02-Ag-34_B;Botlek-02-Ag-6_B;762-27-Ag-169_D
Pryntex-02-Ag-35_B;Botlek-02-Ag-7_B;762-27-Ag-17_B
Pryntex-02-Ag-36_B;Botlek-02-Ag-8_B;762-27-Ag-170_D
Pryntex-02-Ag-37_B;Botlek-02-Ag-9_B;762-27-Ag-171_B
Pryntex-02-Ag-38_B;Botlek-03-Ag-10_B;762-27-Ag-172_D
Pryntex-02-Ag-39_B;Botlek-03-Ag-11_B;762-27-Ag-174_B
Pryntex-02-Ag-40_B;Botlek-03-Ag-12_B;762-27-Ag-175_B
Pryntex-02-Ag-41_B;Botlek-03-Ag-13_D;762-27-Ag-176_B
Pryntex-02-Ag-42_B;Botlek-03-Ag-14_D;762-27-Ag-177_B
Pryntex-02-Ag-43_B;Botlek-03-Ag-15_C;762-27-Ag-178_B
Pryntex-02-Ag-44_B;Botlek-03-Ag-16_B;762-27-Ag-179_B
Pryntex-02-Ag-45_B;Botlek-03-Ag-17_B;762-27-Ag-18_D
Pryntex-02-Ag-46_B;Botlek-03-Ag-18_B;762-27-Ag-180_B
Pryntex-02-Ag-47_B;Botlek-03-Ag-19_D;762-27-Ag-181_B
Pryntex-02-Ag-48_B;Botlek-03-Ag-2_C;762-27-Ag-182_B
Pryntex-02-Ag-49_B;Botlek-03-Ag-20_B;762-27-Ag-183_B
Pryntex-02-Ag-50_B;Botlek-03-Ag-21_B;762-27-Ag-184_D
Pryntex-02-Ag-52_B;Botlek-03-Ag-22_C;762-27-Ag-185_B
Pryntex-03-Ag-01_B;Botlek-03-Ag-23_D;762-27-Ag-186_C
Pryntex-03-Ag-02_B;Botlek-03-Ag-24_B;762-27-Ag-187_B
Pryntex-03-Ag-03_B;Botlek-03-Ag-25_C;762-27-Ag-188_B
Pryntex-03-Ag-04_B;Botlek-03-Ag-26_D;762-27-Ag-189_A
Pryntex-03-Ag-05_B;Botlek-03-Ag-27_D;762-27-Ag-19_B
Pryntex-03-Ag-06_B;Botlek-03-Ag-28_B;762-27-Ag-190_B
Pryntex-03-Ag-07_B;Botlek-03-Ag-29_B;762-27-Ag-191_A
Pryntex-03-Ag-08_B;Botlek-03-Ag-3_B;762-27-Ag-192_A
Pryntex-03-Ag-09_B;Botlek-03-Ag-30_B;762-27-Ag-193_A
