epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,612.686,1.16656,0.6012,1,1.00513,0.00333167,0.00333167,0.070015
2,1290.35,1.07776,0.45927,1,1.26964,0.00650004,0.00650004,0.03985
3,2002.51,1.02899,0.47976,1,1.23916,0.00950342,0.00950342,0.00952008
4,2634.21,0.99262,0.45127,1,1.29732,0.0092575,0.0092575,0.0092575
5,3280.45,0.93804,0.49075,1,1.15063,0.00901,0.00901,0.00901
6,3902.91,0.91422,0.48526,1,1.25923,0.0087625,0.0087625,0.0087625
7,4541.5,0.88157,0.52274,1,1.05208,0.008515,0.008515,0.008515
8,5168.87,0.87166,0.51574,1,1.18775,0.0082675,0.0082675,0.0082675
9,5812.57,0.84382,0.50525,1,1.1128,0.00802,0.00802,0.00802
10,6449.89,0.83104,0.55272,1,1.01982,0.0077725,0.0077725,0.0077725
11,7105.62,0.80648,0.52524,1,1.24154,0.007525,0.007525,0.007525
12,7740.37,0.78817,0.56472,1,1.20616,0.0072775,0.0072775,0.0072775
13,8332.16,0.77401,0.52374,1,1.26087,0.00703,0.00703,0.00703
14,8981.39,0.74927,0.54323,1,1.16552,0.0067825,0.0067825,0.0067825
15,9647.37,0.73026,0.53923,1,1.28915,0.006535,0.006535,0.006535
16,10254,0.72137,0.45277,1,1.73228,0.0062875,0.0062875,0.0062875
